x	y_approx	y_exact	error
0.000000000000000	0.000000000000000	1.000000000000000	1.000000000000000
0.100000000000000	0.005000000000000	1.110341836151295	1.105341836151295
0.200000000000000	0.021025000000000	1.242805516320340	1.221780516320339
0.300000000000000	0.049232625000000	1.399717615152007	1.350484990152007
0.400000000000000	0.090902050625000	1.583649395282541	1.492747344657541
0.500000000000000	0.147446765940625	1.797442541400256	1.649995775459631
0.600000000000000	0.220428676364391	2.044237600781018	1.823808924416627
0.700000000000000	0.311573687382652	2.327505414940953	2.015931727558301
0.800000000000000	0.422788924557830	2.651081856984935	2.228292932427105
0.900000000000000	0.556181761636402	3.019206222313899	2.463024460677497
1.000000000000000	0.714080846608224	3.436563656918090	2.722482810309866
