x	y_approx	y_exact	error
0.000000000000000	1.000000000000000	1.000000000000000	0.000000000000000
0.200000000000000	1.008000000000000	1.008000000000000	0.000000000000000
0.400000000000000	1.064000000000000	1.064000000000000	0.000000000000000
0.600000000000000	1.216000000000000	1.216000000000000	0.000000000000000
0.800000000000000	1.512000000000000	1.512000000000000	0.000000000000000
1.000000000000000	2.000000000000000	2.000000000000000	0.000000000000000
1.200000000000000	2.728000000000001	2.728000000000000	0.000000000000001
1.400000000000000	3.744000000000001	3.743999999999999	0.000000000000001
1.600000000000000	5.096000000000001	5.095999999999999	0.000000000000002
1.800000000000000	6.832000000000001	6.831999999999998	0.000000000000003
2.000000000000000	9.000000000000000	8.999999999999996	0.000000000000004
