x	y_approx	y_exact	error
0.000000000000000	1.000000000000000	1.000000000000000	0.000000000000000
0.100000000000000	1.105166666666667	1.105170918075648	0.000004251408981
0.200000000000000	1.221393361111111	1.221402758160170	0.000009397049059
0.300000000000000	1.349843229587963	1.349858807576003	0.000015577988040
0.400000000000000	1.491801742566297	1.491824697641270	0.000022955074973
0.500000000000000	1.648689559159519	1.648721270700128	0.000031711540609
0.600000000000000	1.822076744464462	1.822118800390509	0.000042055926047
0.700000000000000	2.013698482090641	2.013752707470477	0.000054225379835
0.800000000000000	2.225472439123841	2.225540928492467	0.000068489368627
0.900000000000000	2.459517957305031	2.459603111156949	0.000085153851918
1.000000000000000	2.718177262481611	2.718281828459045	0.000104565977435
